Order Number,Line Item,Order Date,Delivery Date,CustomerKey,StoreKey,ProductKey,Quantity,Currency Code
366000,1,1/1/2016,1/13/2016,265598,10,1304,1,CAD
366001,1,1/1/2016,1/13/2016,1269051,0,1048,2,USD
366002,1,1/1/2016,1/12/2016,266019,0,1106,7,CAD
366004,1,1/1/2016,1/8/2016,1107461,38,163,6,GBP
366005,1,1/1/2016,1/8/2016,844003,33,421,4,EUR
366007,1,1/1/2016,1/8/2016,2035771,43,1617,1,USD
366008,1,1/1/2016,1/8/2016,759705,29,1154,9,EUR
366009,1,1/1/2016,1/8/2016,254540,9,1648,1,CAD
366010,1,1/1/2016,1/8/2016,370077,0,618,5,CAD
366011,1,1/1/2016,1/6/2016,1984985,66,128,7,USD
366012,1,1/1/2016,1/6/2016,1977527,65,1807,1,USD
366013,1,1/1/2016,1/6/2016,1187306,41,1654,5,GBP
366014,1,1/1/2016,1/6/2016,738549,0,123,1,EUR
366016,1,1/1/2016,1/10/2016,1982762,63,1253,7,USD
367000,1,1/2/2016,1/10/2016,1438050,56,1176,1,USD
367003,1,1/2/2016,1/10/2016,980164,40,153,2,GBP
367004,1,1/2/2016,1/10/2016,1853699,56,136,1,USD
367005,1,1/2/2016,1/10/2016,758280,0,1691,1,EUR
367006,1,1/2/2016,1/11/2016,693285,18,2445,3,EUR
367007,1,1/2/2016,1/11/2016,1730985,57,65,7,USD
367008,1,1/2/2016,1/11/2016,763246,28,1951,3,EUR
367009,1,1/2/2016,1/11/2016,1512558,57,934,1,USD
367010,1,1/2/2016,1/11/2016,1322959,66,917,1,USD
367011,1,1/2/2016,1/11/2016,507981,22,39,1,EUR
367012,1,1/2/2016,1/11/2016,209990,9,1653,5,CAD
367013,1,1/2/2016,1/11/2016,815458,31,1733,2,EUR
367014,1,1/2/2016,1/11/2016,1839627,56,1184,3,USD
367015,1,1/2/2016,1/11/2016,911025,42,2296,7,GBP
367016,1,1/2/2016,1/11/2016,1633409,63,1487,1,USD
367017,1,1/2/2016,1/11/2016,1612400,47,1203,4,USD
367018,1,1/2/2016,1/11/2016,1301565,59,1245,2,USD
367019,1,1/2/2016,1/11/2016,793573,29,1947,2,EUR
367020,1,1/2/2016,1/11/2016,799366,29,448,6,EUR
367021,1,1/2/2016,1/11/2016,243917,10,1445,4,CAD
367022,1,1/2/2016,1/11/2016,942807,42,1596,1,GBP
367023,1,1/2/2016,1/11/2016,129318,2,1139,5,AUD
367024,1,1/2/2016,1/11/2016,1713253,50,302,8,USD
367025,1,1/2/2016,1/11/2016,1736623,56,1608,1,USD
367026,1,1/2/2016,1/11/2016,1836599,53,2218,2,USD
367027,1,1/2/2016,1/11/2016,1482586,53,2451,3,USD
367028,1,1/2/2016,1/11/2016,607356,0,976,1,EUR
367029,1,1/2/2016,1/7/2016,1260533,66,1607,1,USD
367030,1,1/2/2016,1/7/2016,1843882,51,2010,7,USD
367031,1,1/2/2016,1/7/2016,909014,0,120,3,GBP
368000,1,1/3/2016,1/9/2016,892838,32,1440,1,EUR
368001,1,1/3/2016,1/9/2016,1670789,64,1598,3,USD
369000,1,1/4/2016,1/9/2016,1143828,37,2167,9,GBP
369001,1,1/4/2016,1/9/2016,269337,8,1301,1,CAD
369002,1,1/4/2016,1/9/2016,258316,8,1656,1,CAD
369004,1,1/4/2016,1/9/2016,1389462,65,1961,5,USD
369005,1,1/4/2016,1/9/2016,1866637,56,183,3,USD
369006,1,1/4/2016,1/9/2016,734605,28,654,1,EUR
369007,1,1/4/2016,1/9/2016,571622,20,2510,3,EUR
369011,1,1/4/2016,1/9/2016,1664824,0,1261,2,USD
369012,1,1/4/2016,1/13/2016,1696695,0,1423,3,USD
370000,1,1/5/2016,1/14/2016,2032025,51,1360,4,USD
370001,1,1/5/2016,1/14/2016,1884908,61,1107,3,USD
370003,1,1/5/2016,1/14/2016,2092033,66,836,8,USD
370004,1,1/5/2016,1/14/2016,1473090,43,1251,2,USD
370005,1,1/5/2016,1/14/2016,584095,24,1610,2,EUR
370006,1,1/5/2016,1/14/2016,661636,16,1272,6,EUR
370007,1,1/5/2016,1/14/2016,623659,15,267,1,EUR
370008,1,1/5/2016,1/14/2016,183264,4,2105,1,AUD
370010,1,1/5/2016,1/14/2016,1393738,48,1709,3,USD
